Entity,Code,Day,"Daily new estimated infections of COVID-19 (ICL, mean)","Daily new estimated infections of COVID-19 (IHME, mean)","Daily new estimated infections of COVID-19 (YYG, mean)","Daily new estimated infections of COVID-19 (LSHTM, median)","Daily new confirmed cases due to COVID-19 (rolling 7-day average, right-aligned)"
Australia,AUS,2021-03-20,2767.24,69.2,,,11.429
Australia,AUS,2021-03-21,2724.24,67.4,,,11.286
Australia,AUS,2021-03-22,2681.82,65.14,,,10.857
Australia,AUS,2021-03-23,2639.97,63.17,,,10.571
Australia,AUS,2021-03-24,2598.68,61.68,,,9.571
Australia,AUS,2021-03-25,2557.95,60.74,,,8.857
Australia,AUS,2021-03-26,2635.92,60.37,,,8.143
Australia,AUS,2021-03-27,2839.57,60.31,,,8.571
Australia,AUS,2021-03-28,3079.67,60.36,,,9.143
Australia,AUS,2021-03-29,3326.9,60.52,,,10.286
Australia,AUS,2021-03-30,3577.24,60.73,,,12.143
Australia,AUS,2021-03-31,3834.67,60.86,,,12.0
Australia,AUS,2021-04-01,4104.21,61.01,,,13.429
Australia,AUS,2021-04-02,4389.82,61.19,,,13.571
Australia,AUS,2021-04-03,4694.22,61.33,,,12.714
Australia,AUS,2021-04-04,5019.37,61.42,,,12.571
Australia,AUS,2021-04-05,5366.88,61.49,,,11.286
Australia,AUS,2021-04-06,5738.23,61.59,,,9.857
Australia,AUS,2021-04-07,6134.99,61.77,,,10.714
Australia,AUS,2021-04-08,6559.02,62.02,,,9.0
Australia,AUS,2021-04-09,6879.87,62.29,,,7.857
Australia,AUS,2021-04-10,7078.62,62.58,,,7.857
Australia,AUS,2021-04-11,7249.84,62.81,,,8.143
Australia,AUS,2021-04-12,7428.69,62.96,,,8.857
Australia,AUS,2021-04-13,7623.64,63.07,,,10.286
Australia,AUS,2021-04-14,7833.64,63.16,,,10.286
Australia,AUS,2021-04-15,8055.59,63.23,,,12.0
Australia,AUS,2021-04-16,8286.94,63.25,,,13.429
Australia,AUS,2021-04-17,8526.17,63.22,,,15.571
Australia,AUS,2021-04-18,8772.53,63.13,,,16.286
Australia,AUS,2021-04-19,9025.8,63.08,,,17.714
Australia,AUS,2021-04-20,9285.98,63.09,,,17.429
Australia,AUS,2021-04-21,9553.19,63.18,,,18.143
