Country,Quarter,beta,gamma
portugal,Q7,0.16789619918115778,0.13259422305215132
portugal,Q8,0.0613859946397283,0.038476015408994826
portugal,Q9,0.04432429124873827,0.022212254832387285
portugal,Q10,0.05344521791620448,0.024913802953288506
portugal,Q11,0.08849589249027158,0.040616414975373015
portugal,Q12,0.09306541104597844,0.04253667201264461
portugal,Q13,0.15666994151498861,0.07132415244437482
portugal,Q14,0.05087713270438762,0.023017174833062922
romania,Q0,0.10480595548883635,0.10476529429216928
romania,Q1,0.08727884515373448,0.08711924491571349
romania,Q2,0.2197896879890082,0.21701860044985197
romania,Q3,0.06377311532956301,0.06152464582273927
romania,Q4,0.04100975340311561,0.038932377186310076
romania,Q5,0.30172381055269853,0.2850255831087447
romania,Q6,0.10940868255434352,0.10120079080838754
romania,Q7,1.1327253306768854,1.0080517919484826
romania,Q8,0.03623997206908664,0.030957683773328384
romania,Q9,0.670166461977754,0.5667666158077457
romania,Q10,0.04269437431123334,0.03558041852614706
romania,Q11,0.08998179295177662,0.07479250847168979
romania,Q12,0.056382200851814654,0.046691584068976937
romania,Q13,0.12221142030125588,0.10101357252262905
romania,Q14,0.05486576020616255,0.0451797693557961
slovakia,Q0,0.0510395752479659,0.05103305737807694
slovakia,Q1,0.10865329001336531,0.10861412134771216
slovakia,Q2,0.1764672055659043,0.17531658487146928
slovakia,Q3,0.04769213671596613,0.045861916693187996
slovakia,Q4,0.04007877123098549,0.03745125168919466
slovakia,Q5,0.1311320280698179,0.12200545095938903
slovakia,Q6,0.29744721946350905,0.2711228694045358
slovakia,Q7,0.23143920396643095,0.18894763439828052
slovakia,Q8,0.03950532283569536,0.027426781549788608
slovakia,Q9,0.17951026209362098,0.12190127530664442
slovakia,Q10,0.07149174105267848,0.04807813778277056
slovakia,Q11,0.08210207581434804,0.05503812246420191
slovakia,Q12,0.05668729210862149,0.03794555597995344
slovakia,Q13,0,0
slovakia,Q14,0.16370022238905402,0.10951507573511604
slovenia,Q0,0.0232188028750519,0.02321166177669252
slovenia,Q1,0.18039186132791465,0.18021479650901503
slovenia,Q2,0.5049219360869728,0.49745250164448246
slovenia,Q3,0.06565743051745344,0.061088525929641244
slovenia,Q4,0.05996588520823177,0.05347022427802699
slovenia,Q5,0.27206757767815504,0.23864923161162022
slovenia,Q6,0.15921133457922684,0.1340240312958524
slovenia,Q7,0.47238774448913234,0.32916776041075185
slovenia,Q8,0.06802401213158335,0.03639646318528014
slovenia,Q9,0.27529625131416224,0.13604151757722632
slovenia,Q10,0.11760916243396236,0.05041402816613809
slovenia,Q11,0.08018819323831407,0.030584252866043687
slovenia,Q12,0.061286961028736306,0.022534842949629735
slovenia,Q13,0.0288042709498816,0.010537971813230799
slovenia,Q14,0.2139660469490089,0.077997421154589
south-korea,Q0,0.01902554032669665,0.01902244749523787
south-korea,Q1,0.061249603845504354,0.08618131635789825
south-korea,Q2,0.08012432067382999,0.0800836135747235
south-korea,Q3,0.036316277269747045,0.03626947239346141
south-korea,Q4,0.09119004092753635,0.09098413710119543
south-korea,Q5,0.16422370922975113,0.1636203934529001
south-korea,Q6,0.0627712212939111,0.06234624274802866
south-korea,Q7,0.2660668120773752,0.25999375795901547
south-korea,Q8,0.036063519628993464,0.02643672698886907
south-korea,Q9,0.6054542828473394,0.37474164944850724
