Entity,Date,Beta,Susceptible
Ireland,15/01/2021,0.02554035867943634,0.968103015
Ireland,17/01/2021,0.0348359168605046,0.966629027
Ireland,19/01/2021,0.03315110299846877,0.965399111
Ireland,21/01/2021,0.02667007242001542,0.9645802960000001
Ireland,23/01/2021,0.023148182409880317,0.963568372
Ireland,25/01/2021,0.023687426128271797,0.962719894
Ireland,27/01/2021,0.027478681864842005,0.962174614
Ireland,29/01/2021,0.028596526891913415,0.961724892
Ireland,31/01/2021,0.03228739052186003,0.961185386
Ireland,02/02/2021,0.028283493098062846,0.960656828
Ireland,04/02/2021,0.03028198367530525,0.9602831549999999
Ireland,06/02/2021,0.03736512926959605,0.95982129
Ireland,08/02/2021,0.03651117207162202,0.95946215
Ireland,10/02/2021,0.02889633714050739,0.959094051
Ireland,12/02/2021,0.018700053776484205,0.95878707
Ireland,14/02/2021,0.018284642870289143,0.958432508
Ireland,16/02/2021,0.021602101859002725,0.958061821
Ireland,18/02/2021,0.02900352532526429,0.95775703
Ireland,20/02/2021,0.03618694659578306,0.957451641
Ireland,22/02/2021,0.042509548962473054,0.957107034
Ireland,24/02/2021,0.0462220635358635,0.95683529
Ireland,26/02/2021,0.04633541136445671,0.956610927
Ireland,28/02/2021,0.04540493184041989,0.956335998
Ireland,02/03/2021,0.03857478533059213,0.955997363
Ireland,04/03/2021,0.038235998702787044,0.955862386
Ireland,06/03/2021,0.03883285693112546,0.955659524
Ireland,08/03/2021,0.04106578391657571,0.95545049
Ireland,10/03/2021,0.044743000197447265,0.955260966
Ireland,12/03/2021,0.055087438688281025,0.955074428
Ireland,14/03/2021,0.05437889749176113,0.954829162
Ireland,16/03/2021,0.04702557432418373,0.954645809
Ireland,18/03/2021,0.034506561277267644,0.954462257
Ireland,20/03/2021,0.02482337763696138,0.9542367
Ireland,22/03/2021,0.02388552810129402,0.954030652
Ireland,24/03/2021,0.02849828038504382,0.953774237
Ireland,26/03/2021,0.03703046230403689,0.953566198
Ireland,28/03/2021,0.041814908253617625,0.953334668
Ireland,30/03/2021,0.04674085376008607,0.9530929850000001
Ireland,01/04/2021,0.039452435057335436,0.952913216
Ireland,03/04/2021,0.03432381404105797,0.95268308
Ireland,05/04/2021,0.03967511140876296,0.952465087
Ireland,07/04/2021,0.05197968241933029,0.952311597
Ireland,09/04/2021,0.06309760632111011,0.952140587
Ireland,11/04/2021,0.05635523578161163,0.951967985
Ireland,13/04/2021,0.04414760997316031,0.951818078
Ireland,15/04/2021,0.03414602903093298,0.951670958
Ireland,17/04/2021,0.03195098978949934,0.951528018
Ireland,19/04/2021,0.032488001538327614,0.951361587
Ireland,21/04/2021,0.03926527839063299,0.951227606
Ireland,23/04/2021,0.0417760106020095,0.9510715279999999
Ireland,25/04/2021,0.04149231566216122,0.950862892
Ireland,27/04/2021,0.03909503154887314,0.950685711
Ireland,29/04/2021,0.03912525700128664,0.950515298
Ireland,01/05/2021,0.03823661828053676,0.950348669
Ireland,03/05/2021,0.03828655147014133,0.950127491
Ireland,05/05/2021,0.043079876431413,0.949957676
Ireland,07/05/2021,0.04902331166528381,0.949799009
Ireland,09/05/2021,0.04776671284508826,0.949636361
Ireland,11/05/2021,0.049175813165447245,0.949456193
Ireland,13/05/2021,0.04831618319141709,0.9493052909999999
Ireland,15/05/2021,0.046725857554627784,0.949129503
Ireland,17/05/2021,0.04498377123617935,0.948954114
Ireland,19/05/2021,0.04376146410626009,0.948804007
Ireland,21/05/2021,0.03908194825782205,0.948626627
Ireland,23/05/2021,0.031477113618539415,0.94842695
Ireland,25/05/2021,0.02980622192647132,0.948261515
Ireland,27/05/2021,0.03320316948297808,0.94812176
Ireland,29/05/2021,0.03629232045525286,0.947947167
Ireland,31/05/2021,0.03819397150974579,0.947764611
Ireland,02/06/2021,0.012537323750075269,0.947617889
Ireland,04/06/2021,0.03884940259029781,0.947469774
Ireland,06/06/2021,0.0338694291631169,0.947274277
Ireland,08/06/2021,0.035050198656270015,0.947135518
Ireland,10/06/2021,0.04307066768059171,0.947006515
Ireland,12/06/2021,0.053942996791676884,0.94688209
Ireland,14/06/2021,0.05835841593302078,0.94673278
Ireland,16/06/2021,0.05786844521360806,0.946629855
Ireland,18/06/2021,0.05300946954123476,0.94651638
Ireland,20/06/2021,0.05121165911819238,0.946382001
Ireland,22/06/2021,0.05367461918825601,0.946225524
Ireland,24/06/2021,0.05684710635605585,0.946134346
Ireland,26/06/2021,0.05805729101299697,0.946014499
Ireland,28/06/2021,0.06542168280318639,0.945850657
Ireland,30/06/2021,0.0809758414400724,0.945717472
Ireland,02/07/2021,0.08607713015095396,0.945568759
Ireland,04/07/2021,0.07814753134287354,0.945377643
Ireland,06/07/2021,0.06752311058835304,0.945176572
Ireland,08/07/2021,0.060693992279434984,0.945030845
Ireland,10/07/2021,0.05871434789958102,0.944818626
Ireland,12/07/2021,0.06591060868384402,0.944577341
Ireland,14/07/2021,0.0702080787718087,0.944348798
Ireland,16/07/2021,0.06105942309629914,0.944084818
Ireland,18/07/2021,0.04553016356366422,0.943654009
Ireland,20/07/2021,0.04612292397719019,0.94314516
